,C4DMAM_1,C4Morpho_1,C4Me-SO4_1,C4MeOH_1,C4Br_1,C7Br_1,C4Me_1,Dluc_1,7Methyl_0n,7Morpho_0n,7Morpip_0n,7DMAM_0n
1,7.80E+03,-1.50E+02,1.41E+04,3.75E+05,6.32E+06,7.36E+06,9.12E+06,3.02E+07,2.33E+06,2.17E+03,1.76E+04,1.43E+05
2,-2.36E+03,-4.16E+02,-2.12E+03,1.79E+05,4.15E+05,9.85E+06,4.27E+05,8.38E+05,6.02E+06,-1.65E+04,1.44E+04,3.37E+04
3,2.99E+02,-2.49E+03,-3.05E+03,1.45E+05,3.93E+05,1.74E+06,5.39E+05,4.41E+05,3.58E+06,-7.91E+04,-7.44E+04,2.71E+03
4,3.50E+02,-1.36E+03,-9.39E+02,1.54E+05,4.30E+05,5.65E+06,5.18E+05,5.63E+05,7.03E+06,2.37E+03,9.45E+03,1.79E+04
5,1.06E+03,-2.37E+02,-2.00E+03,1.71E+05,4.45E+05,2.37E+06,5.11E+05,5.93E+05,5.48E+06,6.87E+02,1.39E+04,4.50E+03
13,1.10E+06,2.55E+05,2.81E+06,1.68E+07,1.45E+08,6.15E+08,7.48E+08,1.33E+09,1.38E+10,7.30E+07,3.71E+08,9.56E+08
14,3.07E+05,3.79E+04,6.87E+05,4.52E+06,4.86E+07,1.67E+08,1.42E+08,3.54E+08,6.86E+08,5.17E+05,1.59E+06,1.36E+07
15,3.98E+05,4.79E+04,8.38E+05,4.66E+06,7.31E+07,2.34E+08,2.24E+08,4.62E+08,1.17E+09,6.89E+05,3.78E+06,1.66E+07
16,4.37E+05,9.70E+04,1.25E+06,1.26E+07,1.60E+08,6.73E+08,5.80E+08,1.25E+09,2.12E+09,1.46E+06,7.30E+06,1.87E+07
17,3.14E+05,4.50E+04,6.14E+05,4.44E+06,2.47E+07,1.26E+08,1.11E+08,1.79E+08,2.15E+09,4.05E+06,4.96E+07,7.20E+07
18,7.04E+06,8.88E+04,3.11E+05,1.33E+06,1.27E+07,1.85E+07,2.63E+07,3.00E+07,5.65E+07,9.19E+05,3.60E+06,2.03E+07
19,4.41E+05,9.25E+04,1.05E+06,4.41E+06,2.84E+07,9.73E+07,7.75E+07,1.39E+08,7.97E+08,6.44E+06,1.92E+07,1.01E+08
20,1.01E+06,2.68E+05,3.85E+06,1.87E+07,1.29E+08,5.54E+08,4.66E+08,8.04E+08,2.58E+08,5.91E+05,1.42E+06,9.36E+06
21,3.32E+05,4.64E+04,7.21E+05,4.15E+06,1.90E+07,1.26E+08,8.15E+07,1.61E+08,2.18E+07,5.76E+04,2.45E+05,1.95E+06
22,5.04E+05,8.72E+04,1.73E+06,7.47E+06,2.06E+08,9.81E+08,6.96E+08,3.52E+09,5.71E+08,2.79E+06,1.10E+07,6.99E+07
23,1.16E+06,3.51E+05,4.39E+06,3.85E+07,4.09E+08,1.15E+09,1.41E+09,2.13E+09,6.54E+08,1.08E+06,3.03E+06,1.74E+07
24,1.48E+06,6.93E+05,8.19E+06,3.76E+07,1.69E+08,8.12E+08,7.42E+08,1.36E+09,4.75E+08,7.07E+05,2.25E+06,1.32E+07
25,1.06E+06,3.29E+06,3.71E+06,2.19E+07,1.13E+08,4.49E+08,5.26E+08,6.65E+08,3.30E+08,4.84E+05,1.95E+06,7.94E+06
26,5.23E+05,2.48E+05,1.41E+06,5.61E+06,1.87E+07,1.53E+08,7.58E+07,2.59E+08,8.86E+07,1.80E+05,4.74E+05,2.61E+06
27,1.35E+06,6.43E+05,5.83E+06,2.47E+07,1.21E+08,6.25E+08,4.83E+08,9.93E+08,5.20E+08,7.50E+05,1.92E+06,1.23E+07
28,8.47E+05,3.30E+05,2.59E+06,1.14E+07,4.40E+07,3.11E+08,1.58E+08,5.26E+08,1.41E+08,2.90E+05,5.63E+05,4.39E+06
29,7.69E+05,3.41E+05,2.55E+06,9.44E+06,7.11E+07,2.20E+08,2.30E+08,2.80E+08,2.01E+08,2.71E+05,5.64E+05,6.11E+06
30,1.64E+06,6.15E+05,7.49E+06,4.61E+07,2.43E+08,9.59E+08,9.21E+08,1.43E+09,4.81E+08,8.75E+05,2.35E+06,1.59E+07
31,1.89E+06,8.31E+05,8.55E+06,6.07E+07,2.09E+08,1.15E+09,1.04E+09,2.14E+09,5.47E+08,1.02E+06,2.59E+06,2.02E+07
32,1.43E+06,5.00E+05,5.71E+06,3.62E+07,1.59E+08,6.79E+08,5.60E+08,1.09E+09,3.79E+08,5.70E+05,1.05E+06,1.13E+07
33,9.48E+05,4.55E+05,4.01E+06,1.49E+07,5.43E+07,2.73E+08,1.88E+08,2.66E+08,1.70E+08,3.72E+05,4.86E+05,6.05E+06
34,8.89E+05,1.48E+05,1.71E+06,1.01E+07,2.85E+08,1.10E+09,7.41E+08,3.32E+09,4.68E+08,8.60E+05,4.65E+06,2.81E+07
35,4.76E+04,1.08E+05,6.81E+04,4.67E+05,5.74E+06,1.20E+07,5.20E+06,1.29E+07,5.98E+06,1.32E+03,3.39E+04,8.95E+04
36,1.91E+04,8.78E+03,5.47E+04,5.48E+05,1.63E+07,1.12E+08,1.42E+07,1.08E+08,5.34E+07,4.23E+04,8.38E+04,5.86E+05
37,1.25E+05,4.26E+04,2.82E+05,2.01E+06,1.87E+07,2.09E+08,2.96E+07,8.09E+08,1.07E+08,1.10E+05,2.45E+05,2.33E+06
38,3.40E+05,1.05E+05,9.77E+05,5.15E+06,1.68E+08,6.29E+08,4.56E+08,1.73E+09,3.23E+08,1.64E+05,4.37E+05,3.42E+06
39,5.15E+05,1.43E+05,2.28E+06,1.11E+07,3.73E+08,1.52E+09,1.01E+09,4.89E+09,9.84E+08,5.25E+05,2.19E+06,1.18E+07
40,4.62E+05,1.62E+05,1.23E+06,7.83E+06,1.66E+08,5.98E+08,5.50E+08,1.72E+09,7.91E+08,3.18E+05,2.06E+06,7.66E+06
41,8.77E+04,2.78E+04,2.01E+05,1.23E+06,4.97E+07,1.47E+08,1.20E+08,3.91E+08,1.05E+09,3.22E+05,1.40E+06,3.53E+06
42,4.59E+05,1.69E+05,1.76E+06,1.08E+07,3.82E+08,1.34E+09,1.04E+09,4.31E+09,1.09E+09,2.70E+05,1.71E+06,1.12E+07
43,2.07E+05,5.63E+04,5.40E+05,3.33E+06,6.72E+07,2.81E+08,1.87E+08,6.00E+08,1.07E+09,6.64E+05,2.50E+06,1.42E+07
44,3.49E+05,1.43E+05,7.20E+05,5.70E+06,2.68E+08,3.00E+08,3.96E+08,1.46E+09,9.01E+08,7.01E+05,1.12E+07,4.17E+07
45,2.44E+05,6.68E+04,5.07E+05,3.72E+06,9.81E+07,2.15E+08,1.96E+08,1.26E+09,4.34E+08,3.73E+05,6.28E+06,2.29E+07
47,2.53E+05,7.94E+04,4.96E+05,4.04E+06,9.62E+07,2.15E+08,2.15E+08,1.33E+09,3.69E+08,3.11E+05,5.67E+06,2.22E+07
48,2.51E+05,7.98E+04,5.11E+05,4.65E+06,1.17E+08,2.24E+08,2.26E+08,1.24E+09,3.77E+08,2.98E+05,6.23E+06,1.69E+07
49,3.08E+05,1.03E+05,5.54E+05,6.85E+06,2.36E+08,2.94E+08,4.85E+08,5.95E+08,2.51E+08,2.06E+05,3.41E+06,1.23E+07
50,5.38E+04,2.93E+04,2.73E+05,1.01E+07,3.85E+08,8.22E+06,9.84E+07,5.13E+06,3.28E+06,5.79E+03,2.57E+04,6.66E+04
51,6.66E+04,3.11E+04,3.45E+05,8.46E+06,4.15E+08,7.06E+06,5.08E+07,7.49E+06,1.74E+06,9.86E+03,3.19E+04,9.22E+04
52,8.54E+04,3.12E+04,8.51E+04,1.08E+06,5.57E+07,6.46E+07,7.68E+07,4.96E+07,5.15E+07,2.97E+04,2.46E+04,8.13E+05
53,6.23E+04,2.26E+04,1.27E+05,2.99E+06,3.60E+08,2.60E+07,4.81E+07,4.07E+07,1.32E+06,9.23E+03,3.11E+04,6.35E+04
54,8.02E+04,4.27E+04,1.56E+05,4.43E+06,4.92E+08,1.29E+07,2.41E+08,1.77E+07,2.84E+06,5.28E+03,6.66E+04,2.10E+05
55,2.12E+05,1.25E+05,1.03E+06,3.94E+07,1.87E+08,1.36E+08,4.99E+08,1.15E+08,4.62E+07,2.58E+04,3.32E+05,1.19E+06
56,9.77E+04,5.94E+04,3.44E+05,1.05E+07,1.47E+08,5.34E+07,3.17E+08,1.35E+07,1.37E+07,6.96E+03,8.08E+04,1.70E+05
57,1.89E+05,1.27E+05,8.78E+05,3.32E+07,1.17E+08,1.19E+08,2.63E+08,2.91E+07,1.83E+07,6.24E+03,1.04E+05,2.41E+05
58,2.45E+05,1.41E+05,1.42E+06,5.46E+07,2.26E+08,1.70E+08,5.50E+08,6.31E+07,4.99E+07,1.37E+04,3.17E+05,7.65E+05
59,2.06E+06,6.72E+05,1.35E+07,7.57E+07,3.05E+08,2.28E+09,8.26E+08,4.23E+09,3.92E+08,9.54E+05,3.51E+06,1.90E+07
60,4.24E+05,1.77E+05,1.21E+06,8.42E+06,2.03E+08,4.44E+08,5.62E+08,1.39E+09,3.07E+08,3.56E+05,1.29E+06,9.28E+06
61,5.42E+05,1.28E+05,1.83E+06,1.21E+07,2.14E+08,6.37E+08,3.92E+08,6.16E+08,1.00E+08,2.76E+05,5.10E+05,1.75E+06
62,3.46E+05,1.19E+05,6.33E+05,4.23E+06,1.17E+08,3.53E+08,2.64E+08,5.92E+08,1.01E+08,1.78E+05,5.02E+05,2.30E+06
63,3.31E+05,9.03E+04,7.22E+05,4.95E+06,8.55E+07,3.31E+08,2.58E+08,3.30E+08,1.13E+08,1.39E+05,2.11E+05,2.46E+06
64,5.66E+05,1.70E+05,2.07E+06,1.56E+07,3.45E+08,1.18E+09,9.77E+08,1.46E+09,5.27E+08,8.86E+05,3.13E+06,1.13E+07
65,4.56E+05,1.02E+05,1.42E+06,9.22E+06,1.45E+08,3.27E+08,1.50E+08,2.60E+08,3.94E+07,3.10E+05,9.41E+05,3.82E+06
66,2.23E+05,5.25E+04,5.21E+05,3.55E+06,3.86E+07,1.72E+08,1.05E+08,1.46E+08,6.71E+07,4.27E+04,9.26E+04,8.18E+05
67,3.12E+05,1.04E+05,6.68E+05,5.00E+06,1.25E+08,5.72E+08,3.81E+08,8.34E+08,3.20E+08,3.97E+05,6.87E+05,7.86E+06
68,1.49E+06,6.93E+05,7.52E+06,3.38E+07,7.50E+07,5.70E+08,1.87E+08,3.53E+08,9.35E+07,2.57E+06,7.32E+06,3.85E+07
69,1.06E+06,3.24E+05,5.24E+06,1.79E+07,7.06E+07,3.61E+08,1.72E+08,2.66E+08,9.76E+07,1.77E+05,4.43E+05,2.72E+06
70,5.05E+05,1.72E+05,1.19E+06,5.99E+06,2.27E+08,1.03E+09,6.23E+08,1.61E+09,6.89E+08,8.77E+05,3.08E+06,2.70E+07
71,6.41E+05,1.65E+05,2.37E+06,1.34E+07,2.86E+08,1.13E+09,9.31E+08,1.31E+09,4.80E+08,7.10E+05,1.19E+06,1.44E+07
